Side,Route,Cutpoint_m,n_inner,n_outer,Mean_inner,Mean_outer,Outer_minus_inner,Outer_vs_inner_pct
North,Field K,3,3,9,7.333333333333333,48.62777777777777,41.29444444444444,563.1060606060605
North,Field K,4,4,8,7.25,53.83125,46.58125,642.5
North,Field K,5,5,7,10.120000000000001,58.435714285714276,48.31571428571428,477.4280067758327
North,Field K,6,6,6,15.266666666666666,61.34166666666666,46.074999999999996,301.8013100436681
North,Field K,7,7,5,21.457142857142856,61.89,40.432857142857145,188.43541944074568
North,Field K,8,8,4,23.8,67.3125,43.5125,182.82563025210086
North,Fine LF,3,3,9,4.133333333333333,7.544444444444445,3.4111111111111123,82.52688172043014
North,Fine LF,4,4,8,4.475,7.8,3.325,74.30167597765363
North,Fine LF,5,5,7,4.819999999999999,8.028571428571427,3.2085714285714273,66.56787196206282
North,Fine LF,6,6,6,5.199999999999999,8.183333333333332,2.9833333333333325,57.37179487179487
North,Fine LF,7,7,5,5.614285714285714,8.2,2.5857142857142854,46.0559796437659
North,Fine LF,8,8,4,5.8125,8.45,2.6374999999999993,45.37634408602149
North,Fine HF,3,3,9,4.066666666666666,7.311111111111111,3.2444444444444445,79.78142076502732
North,Fine HF,4,4,8,4.425,7.5375000000000005,3.1125000000000007,70.33898305084747
North,Fine HF,5,5,7,4.7,7.785714285714286,3.0857142857142854,65.65349544072947
North,Fine HF,6,6,6,5.066666666666666,7.933333333333334,2.866666666666667,56.57894736842106
North,Fine HF,7,7,5,5.471428571428571,7.9399999999999995,2.468571428571429,45.11749347258487
North,Fine HF,8,8,4,5.6625,8.174999999999999,2.5124999999999993,44.37086092715231
North,Coarse LF,3,3,9,1.3933333333333333,5.382222222222222,3.988888888888888,286.2838915470494
North,Coarse LF,4,4,8,1.525,5.815,4.290000000000001,281.3114754098362
North,Coarse LF,5,5,7,1.7399999999999998,6.274285714285715,4.534285714285716,260.5911330049262
North,Coarse LF,6,6,6,2.1999999999999997,6.57,4.370000000000001,198.6363636363637
North,Coarse LF,7,7,5,2.8714285714285714,6.504,3.632571428571428,126.50746268656714
North,Coarse LF,8,8,4,2.8025,7.55,4.7475,169.4023193577163
North,Coarse HF,3,3,9,1.3933333333333333,5.185555555555556,3.7922222222222226,272.16905901116434
North,Coarse HF,4,4,8,1.525,5.59375,4.06875,266.8032786885246
North,Coarse HF,5,5,7,1.72,6.035714285714286,4.315714285714286,250.9136212624585
North,Coarse HF,6,6,6,2.15,6.325,4.175000000000001,194.18604651162795
North,Coarse HF,7,7,5,2.814285714285714,6.23,3.4157142857142864,121.37055837563454
North,Coarse HF,8,8,4,2.7437500000000004,7.225,4.481249999999999,163.32574031890655
South,Field K,3,3,9,11.299999999999999,49.633333333333326,38.33333333333333,339.23303834808263
South,Field K,4,4,8,14.274999999999999,52.9375,38.6625,270.8406304728547
South,Field K,5,5,7,18.939999999999998,55.128571428571426,36.18857142857143,191.0695429174838
South,Field K,6,6,6,24.88333333333333,55.21666666666666,30.333333333333332,121.90221031480242
South,Field K,7,7,5,28.257142857142856,56.55999999999999,28.302857142857132,100.16177957532857
South,Field K,8,8,4,32.1,55.95,23.85,74.29906542056075
South,Fine LF,3,3,9,3.0666666666666664,7.944444444444445,4.877777777777778,159.05797101449278
South,Fine LF,4,4,8,3.675,8.25,4.575,124.48979591836735
South,Fine LF,5,5,7,4.359999999999999,8.414285714285715,4.054285714285715,92.9882044560944
South,Fine LF,6,6,6,5.083333333333333,8.366666666666667,3.283333333333334,64.59016393442624
South,Fine LF,7,7,5,5.5,8.440000000000001,2.9400000000000013,53.454545454545475
South,Fine LF,8,8,4,5.8875,8.399999999999999,2.5124999999999984,42.675159235668765
South,Fine HF,3,3,9,3.0666666666666664,7.655555555555556,4.5888888888888895,149.6376811594203
South,Fine HF,4,4,8,3.5999999999999996,7.9625,4.362500000000001,121.18055555555559
South,Fine HF,5,5,7,4.26,8.114285714285714,3.854285714285714,90.47619047619048
South,Fine HF,6,6,6,4.883333333333333,8.133333333333333,3.25,66.55290102389078
South,Fine HF,7,7,5,5.328571428571428,8.16,2.831428571428572,53.13672922252012
South,Fine HF,8,8,4,5.675,8.175,2.500000000000001,44.05286343612336
South,Coarse LF,3,3,9,1.7666666666666668,7.255555555555556,5.48888888888889,310.6918238993711
South,Coarse LF,4,4,8,2.0,7.825,5.825,291.25
South,Coarse LF,5,5,7,3.12,7.8571428571428585,4.737142857142858,151.83150183150187
South,Coarse LF,6,6,6,4.016666666666667,7.75,3.7333333333333334,92.9460580912863
South,Coarse LF,7,7,5,4.6000000000000005,7.6800000000000015,3.080000000000001,66.95652173913045
South,Coarse LF,8,8,4,5.0625,7.5249999999999995,2.4624999999999995,48.64197530864197
South,Coarse HF,3,3,9,1.7000000000000002,6.955555555555555,5.255555555555555,309.15032679738556
South,Coarse HF,4,4,8,1.9250000000000003,7.5,5.574999999999999,289.6103896103895
South,Coarse HF,5,5,7,3.0200000000000005,7.514285714285714,4.494285714285714,148.81740775780509
South,Coarse HF,6,6,6,3.866666666666667,7.416666666666667,3.55,91.81034482758619
South,Coarse HF,7,7,5,4.414285714285715,7.359999999999999,2.945714285714285,66.73139158576049
South,Coarse HF,8,8,4,4.875,7.175,2.3,47.179487179487175
