Side,Route,Omitted_distance_m,Spearman_rho,TheilSen_slope
North,Field K,1.0,0.881818181818182,6.0928571428571425
North,Field K,2.0,0.881818181818182,6.0928571428571425
North,Field K,3.0,0.881818181818182,6.0928571428571425
North,Field K,4.0,0.881818181818182,5.965
North,Field K,5.0,0.8727272727272729,5.965
North,Field K,6.0,0.8909090909090911,5.961111111111111
North,Field K,7.0,0.8909090909090911,5.965
North,Field K,8.0,0.9,6.0928571428571425
North,Field K,9.0,0.9181818181818183,5.961111111111111
North,Field K,10.0,0.9181818181818183,5.933333333333334
North,Field K,12.0,0.9272727272727275,6.840000000000001
North,Field K,14.0,0.9272727272727275,7.15625
North,Fine LF,1.0,0.961278120390013,0.42500000000000004
North,Fine LF,2.0,0.961278120390013,0.4750000000000001
North,Fine LF,3.0,0.961278120390013,0.4750000000000001
North,Fine LF,4.0,0.961278120390013,0.4999999999999998
North,Fine LF,5.0,0.961278120390013,0.4500000000000002
North,Fine LF,6.0,0.961278120390013,0.4999999999999998
North,Fine LF,7.0,0.9703897613415772,0.4999999999999998
North,Fine LF,8.0,0.9703897613415772,0.5142857142857142
North,Fine LF,9.0,0.961278120390013,0.4750000000000001
North,Fine LF,10.0,0.9886130432447054,0.4500000000000002
North,Fine LF,12.0,0.9818181818181818,0.5399999999999998
North,Fine LF,14.0,0.9818181818181818,0.5399999999999998
North,Fine HF,1.0,0.8995527570051297,0.4000000000000001
North,Fine HF,2.0,0.8995527570051297,0.45999999999999996
North,Fine HF,3.0,0.8995527570051297,0.4000000000000001
North,Fine HF,4.0,0.8995527570051297,0.4249999999999998
North,Fine HF,5.0,0.8995527570051297,0.4500000000000002
North,Fine HF,6.0,0.8995527570051297,0.4500000000000002
North,Fine HF,7.0,0.9293873770595388,0.4500000000000002
North,Fine HF,8.0,0.9132515299544461,0.5
North,Fine HF,9.0,0.9384990180111028,0.4249999999999998
North,Fine HF,10.0,0.9452153335028519,0.4000000000000001
North,Fine HF,12.0,0.9476106589626668,0.5166666666666666
North,Fine HF,14.0,0.9749455818173592,0.5166666666666666
North,Coarse LF,1.0,0.9272727272727275,0.6555555555555556
North,Coarse LF,2.0,0.9272727272727275,0.6555555555555556
North,Coarse LF,3.0,0.9272727272727275,0.6800000000000002
North,Coarse LF,4.0,0.9272727272727275,0.6418181818181817
North,Coarse LF,5.0,0.9545454545454546,0.6418181818181817
North,Coarse LF,6.0,0.9545454545454546,0.608
North,Coarse LF,7.0,0.9727272727272729,0.6418181818181817
North,Coarse LF,8.0,0.990909090909091,0.6800000000000002
North,Coarse LF,9.0,0.9454545454545454,0.608
North,Coarse LF,10.0,0.9272727272727275,0.608
North,Coarse LF,12.0,0.9272727272727275,0.7333333333333334
North,Coarse LF,14.0,0.9272727272727275,0.7371428571428572
North,Coarse HF,1.0,0.9272727272727275,0.596
North,Coarse HF,2.0,0.9272727272727275,0.6145454545454545
North,Coarse HF,3.0,0.9272727272727275,0.6145454545454545
North,Coarse HF,4.0,0.9272727272727275,0.6145454545454545
North,Coarse HF,5.0,0.9545454545454546,0.6145454545454545
North,Coarse HF,6.0,0.9545454545454546,0.58
North,Coarse HF,7.0,0.9727272727272729,0.596
North,Coarse HF,8.0,0.990909090909091,0.6222222222222222
North,Coarse HF,9.0,0.9454545454545454,0.58
North,Coarse HF,10.0,0.9272727272727275,0.58
North,Coarse HF,12.0,0.9272727272727275,0.6666666666666666
North,Coarse HF,14.0,0.9272727272727275,0.69
South,Field K,1.0,0.9,4.183333333333334
South,Field K,2.0,0.9,4.183333333333334
South,Field K,3.0,0.9090909090909091,4.483333333333333
South,Field K,4.0,0.9090909090909091,4.353846153846154
South,Field K,5.0,0.9,4.471428571428571
South,Field K,6.0,0.9363636363636365,4.927272727272728
South,Field K,7.0,0.9181818181818183,4.483333333333333
South,Field K,8.0,0.9636363636363637,4.483333333333333
South,Field K,9.0,0.9545454545454546,5.14
South,Field K,10.0,0.9272727272727275,5.14
South,Field K,12.0,0.9272727272727275,5.75
South,Field K,14.0,0.9,5.75
South,Fine LF,1.0,0.7945288310603683,0.35000000000000053
South,Fine LF,2.0,0.7945288310603683,0.35000000000000053
South,Fine LF,3.0,0.8036613463599128,0.5
South,Fine LF,4.0,0.8036613463599128,0.4500000000000002
South,Fine LF,5.0,0.7945288310603683,0.5166666666666666
South,Fine LF,6.0,0.9315165605535353,0.5166666666666666
