ID,Side,Distance_m,Kfield_x1e-6_SI,Fine_LF_x1e-8_m3kg,Fine_HF_x1e-8_m3kg,Coarse_LF_x1e-8_m3kg,Coarse_HF_x1e-8_m3kg
N01,North,1,6.8,2.7,2.9,0.74,0.74
N02,North,2,4.6,4.6,4.6,1.54,1.54
N03,North,3,10.6,5.1,4.7,1.9,1.9
N04,North,4,7.0,5.5,5.5,1.92,1.92
N05,North,5,21.6,6.2,5.8,2.6,2.5
N06,North,6,41.0,7.1,6.9,4.5,4.3
N07,North,7,58.6,8.1,7.9,6.9,6.8
N08,North,8,40.2,7.2,7.0,2.32,2.25
N09,North,9,64.6,8.2,8.1,6.7,6.3
N10,North,10,78.0,9.0,8.6,7.7,7.4
N12,North,12,64.25,8.3,8.1,7.8,7.5
N14,North,14,62.4,8.3,7.9,8.0,7.7
S01,South,1,2.8,1.2,1.2,0.65,0.55
S02,South,2,5.6,2.2,2.2,1.2,1.1
S03,South,3,25.5,5.8,5.8,3.45,3.45
S04,South,4,23.2,5.5,5.2,2.7,2.6
S05,South,5,37.6,7.1,6.9,7.6,7.4
S06,South,6,54.6,8.7,8.0,8.5,8.1
S07,South,7,48.5,8.0,8.0,8.1,7.7
S08,South,8,59.0,8.6,8.1,8.3,8.1
S09,South,9,50.6,8.1,8.1,7.9,7.5
S10,South,10,56.8,8.6,8.0,7.5,7.0
S12,South,12,57.0,8.1,7.8,7.5,7.2
S14,South,14,59.4,8.8,8.8,7.2,7.0
