Side,Route,k,positive,total,R_k,nonpositive
North,Field K,2,57,66,0.8636363636363636,9
North,Field K,3,215,220,0.9772727272727273,5
North,Field K,4,493,495,0.9959595959595959,2
North,Field K,5,792,792,1.0,0
North,Field K,6,924,924,1.0,0
North,Field K,7,792,792,1.0,0
North,Field K,8,495,495,1.0,0
North,Field K,9,220,220,1.0,0
North,Field K,10,66,66,1.0,0
North,Field K,11,12,12,1.0,0
North,Field K,12,1,1,1.0,0
North,Fine LF,2,62,66,0.9393939393939394,4
North,Fine LF,3,219,220,0.9954545454545455,1
North,Fine LF,4,495,495,1.0,0
North,Fine LF,5,792,792,1.0,0
North,Fine LF,6,924,924,1.0,0
North,Fine LF,7,792,792,1.0,0
North,Fine LF,8,495,495,1.0,0
North,Fine LF,9,220,220,1.0,0
North,Fine LF,10,66,66,1.0,0
North,Fine LF,11,12,12,1.0,0
North,Fine LF,12,1,1,1.0,0
North,Fine HF,2,59,66,0.8939393939393939,7
North,Fine HF,3,212,220,0.9636363636363636,8
North,Fine HF,4,492,495,0.9939393939393939,3
North,Fine HF,5,791,792,0.9987373737373737,1
North,Fine HF,6,924,924,1.0,0
North,Fine HF,7,792,792,1.0,0
North,Fine HF,8,495,495,1.0,0
North,Fine HF,9,220,220,1.0,0
North,Fine HF,10,66,66,1.0,0
North,Fine HF,11,12,12,1.0,0
North,Fine HF,12,1,1,1.0,0
North,Coarse LF,2,62,66,0.9393939393939394,4
North,Coarse LF,3,216,220,0.9818181818181818,4
North,Coarse LF,4,495,495,1.0,0
North,Coarse LF,5,792,792,1.0,0
North,Coarse LF,6,924,924,1.0,0
North,Coarse LF,7,792,792,1.0,0
North,Coarse LF,8,495,495,1.0,0
North,Coarse LF,9,220,220,1.0,0
North,Coarse LF,10,66,66,1.0,0
North,Coarse LF,11,12,12,1.0,0
North,Coarse LF,12,1,1,1.0,0
North,Coarse HF,2,62,66,0.9393939393939394,4
North,Coarse HF,3,216,220,0.9818181818181818,4
North,Coarse HF,4,495,495,1.0,0
North,Coarse HF,5,792,792,1.0,0
North,Coarse HF,6,924,924,1.0,0
North,Coarse HF,7,792,792,1.0,0
North,Coarse HF,8,495,495,1.0,0
North,Coarse HF,9,220,220,1.0,0
North,Coarse HF,10,66,66,1.0,0
North,Coarse HF,11,12,12,1.0,0
North,Coarse HF,12,1,1,1.0,0
South,Field K,2,60,66,0.9090909090909091,6
South,Field K,3,215,220,0.9772727272727273,5
South,Field K,4,491,495,0.9919191919191919,4
South,Field K,5,792,792,1.0,0
South,Field K,6,924,924,1.0,0
South,Field K,7,792,792,1.0,0
South,Field K,8,495,495,1.0,0
South,Field K,9,220,220,1.0,0
South,Field K,10,66,66,1.0,0
South,Field K,11,12,12,1.0,0
South,Field K,12,1,1,1.0,0
South,Fine LF,2,55,66,0.8333333333333334,11
South,Fine LF,3,206,220,0.9363636363636364,14
South,Fine LF,4,482,495,0.9737373737373738,13
South,Fine LF,5,775,792,0.9785353535353535,17
South,Fine LF,6,917,924,0.9924242424242424,7
South,Fine LF,7,792,792,1.0,0
South,Fine LF,8,495,495,1.0,0
South,Fine LF,9,220,220,1.0,0
South,Fine LF,10,66,66,1.0,0
South,Fine LF,11,12,12,1.0,0
South,Fine LF,12,1,1,1.0,0
South,Fine HF,2,54,66,0.8181818181818182,12
South,Fine HF,3,204,220,0.9272727272727272,16
South,Fine HF,4,481,495,0.9717171717171718,14
South,Fine HF,5,774,792,0.9772727272727273,18
South,Fine HF,6,899,924,0.9729437229437229,25
South,Fine HF,7,786,792,0.9924242424242424,6
South,Fine HF,8,495,495,1.0,0
South,Fine HF,9,220,220,1.0,0
South,Fine HF,10,66,66,1.0,0
South,Fine HF,11,12,12,1.0,0
South,Fine HF,12,1,1,1.0,0
South,Coarse LF,2,42,66,0.6363636363636364,24
South,Coarse LF,3,170,220,0.7727272727272727,50
South,Coarse LF,4,430,495,0.8686868686868687,65
South,Coarse LF,5,632,792,0.797979797979798,160
South,Coarse LF,6,736,924,0.7965367965367965,188
South,Coarse LF,7,673,792,0.8497474747474747,119
South,Coarse LF,8,445,495,0.898989898989899,50
South,Coarse LF,9,208,220,0.9454545454545454,12
South,Coarse LF,10,60,66,0.9090909090909091,6
South,Coarse LF,11,12,12,1.0,0
South,Coarse LF,12,1,1,1.0,0
South,Coarse HF,2,43,66,0.6515151515151515,23
South,Coarse HF,3,170,220,0.7727272727272727,50
South,Coarse HF,4,431,495,0.8707070707070707,64
South,Coarse HF,5,669,792,0.8446969696969697,123
South,Coarse HF,6,756,924,0.8181818181818182,168
South,Coarse HF,7,688,792,0.8686868686868687,104
South,Coarse HF,8,458,495,0.9252525252525252,37
South,Coarse HF,9,210,220,0.9545454545454546,10
South,Coarse HF,10,65,66,0.9848484848484849,1
South,Coarse HF,11,12,12,1.0,0
South,Coarse HF,12,1,1,1.0,0
