Side,Route,Outer_window_m,Model_locked,Full_model_locked,Dstar_m_locked,Model_recomputed,Full_model_recomputed,Dstar_m_recomputed,Match
North,Field K,6,E,P,12,E,P,12.0,True
North,Field K,7,E,P,12,E,P,12.0,True
North,Field K,8,G,P,12,G,P,12.0,True
North,Field K,9,G,P,12,G,P,12.0,True
North,Field K,10,G,P,12,G,P,12.0,True
North,Field K,12,P,P,12,P,P,12.0,True
North,Field K,14,P,P,12,P,P,12.0,True
North,Fine LF,6,G,P,12,G,P,12.0,True
North,Fine LF,7,G,P,12,G,P,12.0,True
North,Fine LF,8,P,P,12,P,P,12.0,True
North,Fine LF,9,P,P,12,P,P,12.0,True
North,Fine LF,10,G,P,12,G,P,12.0,True
North,Fine LF,12,P,P,12,P,P,12.0,True
North,Fine LF,14,P,P,12,P,P,12.0,True
North,Fine HF,6,G,P,12,G,P,12.0,True
North,Fine HF,7,G,P,12,G,P,12.0,True
North,Fine HF,8,P,P,12,P,P,12.0,True
North,Fine HF,9,P,P,12,P,P,12.0,True
North,Fine HF,10,G,P,12,G,P,12.0,True
North,Fine HF,12,P,P,12,P,P,12.0,True
North,Fine HF,14,P,P,12,P,P,12.0,True
North,Coarse LF,6,G,G,10,G,G,10.0,True
North,Coarse LF,7,E,G,10,E,G,10.0,True
North,Coarse LF,8,P,G,10,P,G,10.0,True
North,Coarse LF,9,P,G,10,P,G,10.0,True
North,Coarse LF,10,G,G,10,G,G,10.0,True
North,Coarse LF,12,G,G,10,G,G,10.0,True
North,Coarse LF,14,G,G,10,G,G,10.0,True
North,Coarse HF,6,G,G,10,G,G,10.0,True
North,Coarse HF,7,E,G,10,E,G,10.0,True
North,Coarse HF,8,P,G,10,P,G,10.0,True
North,Coarse HF,9,P,G,10,P,G,10.0,True
North,Coarse HF,10,G,G,10,G,G,10.0,True
North,Coarse HF,12,G,G,10,G,G,10.0,True
North,Coarse HF,14,G,G,10,G,G,10.0,True
South,Field K,6,G,P,9,G,P,9.0,True
South,Field K,7,G,P,9,G,P,9.0,True
South,Field K,8,G,P,9,G,P,9.0,True
South,Field K,9,P,P,9,P,P,9.0,True
South,Field K,10,P,P,9,P,P,9.0,True
South,Field K,12,P,P,9,P,P,9.0,True
South,Field K,14,P,P,9,P,P,9.0,True
South,Fine LF,6,G,P,7,G,P,7.0,True
South,Fine LF,7,P,P,7,P,P,7.0,True
South,Fine LF,8,P,P,7,P,P,7.0,True
South,Fine LF,9,P,P,7,P,P,7.0,True
South,Fine LF,10,P,P,7,P,P,7.0,True
South,Fine LF,12,P,P,7,P,P,7.0,True
South,Fine LF,14,P,P,7,P,P,7.0,True
South,Fine HF,6,G,P,7,G,P,7.0,True
South,Fine HF,7,P,P,7,P,P,7.0,True
South,Fine HF,8,P,P,7,P,P,7.0,True
South,Fine HF,9,P,P,7,P,P,7.0,True
South,Fine HF,10,P,P,7,P,P,7.0,True
South,Fine HF,12,P,P,7,P,P,7.0,True
South,Fine HF,14,P,P,7,P,P,7.0,True
South,Coarse LF,6,G,P,8,G,P,8.0,True
South,Coarse LF,7,G,P,8,G,P,8.0,True
South,Coarse LF,8,P,P,8,P,P,8.0,True
South,Coarse LF,9,P,P,8,P,P,8.0,True
South,Coarse LF,10,P,P,8,P,P,8.0,True
South,Coarse LF,12,P,P,8,P,P,8.0,True
South,Coarse LF,14,P,P,8,P,P,8.0,True
South,Coarse HF,6,G,P,9,G,P,9.0,True
South,Coarse HF,7,G,P,9,G,P,9.0,True
South,Coarse HF,8,G,P,9,G,P,9.0,True
South,Coarse HF,9,P,P,9,P,P,9.0,True
South,Coarse HF,10,P,P,9,P,P,9.0,True
South,Coarse HF,12,P,P,9,P,P,9.0,True
South,Coarse HF,14,P,P,9,P,P,9.0,True
