Side,Route,Outer_window_m,Internal_candidate_set,Inner_LOOCV_winner,Complete_record_class,Tail_best_model,Tail_RMSE_G,Tail_RMSE_P,Tail_RMSE_E,Inner_disagrees_with_complete
North,Field K,5,G/E only,E,P,G,29.69028532798469,47.7222058225668,76.22399391492162,True
North,Fine LF,5,G/E only,G,P,P,2.5768336051385674,2.4515198911666443,2.5768336051385674,True
North,Fine HF,5,G/E only,G,P,G,1.953871614439979,2.459355996931483,1.953871614439979,True
North,Coarse LF,5,G/E only,G,G,G,2.4310403416762023,4.56100856249392,2.4310403416762023,False
North,Coarse HF,5,G/E only,G,G,G,2.3337278578029865,4.343053335705851,2.3337278578029865,False
South,Field K,5,G/E only,G,P,P,28.79687483043949,27.90298953117364,31.95140039773832,True
South,Fine LF,5,G/E only,G,P,P,6.868716869151862,2.483588992912129,6.868716869151862,True
South,Fine HF,5,G/E only,G,P,P,6.495805239867165,2.339193189282517,6.495805239867165,True
South,Coarse LF,5,G/E only,G,P,P,6.807789655974983,3.478870371614901,28.923598488528718,True
South,Coarse HF,5,G/E only,G,P,P,6.835031612425588,3.2379231314775114,27.390142613105454,True
North,Field K,6,G/P/E,E,P,G,16.038743889580484,41.200560439823576,137.69049241853696,True
North,Field K,7,G/P/E,E,P,G,24.074652815009944,29.823016861322795,145.320818873955,True
North,Field K,8,G/P/E,G,P,G,18.617714641421152,27.673309882275607,27.369635269045013,True
North,Field K,9,G/P/E,G,P,P,24.279363665467013,19.833170712062838,33.3947867487884,True
North,Field K,10,G/P/E,G,P,P,34.13199236629127,4.183098865159933,44.875501728443666,True
North,Field K,12,G/P/E,P,P,P,30.910338345864652,2.122151898734181,33.96355216387783,False
North,Fine LF,6,G/P/E,G,P,P,2.6881637765947115,1.9557607215607966,2.6881637765947115,True
North,Fine LF,7,G/P/E,G,P,P,3.095088686870194,1.2822114161488671,3.095088686870194,True
North,Fine LF,8,G/P/E,P,P,P,2.30631104777585,1.0955006560466236,2.30631104777585,False
North,Fine LF,9,G/P/E,P,P,P,2.316549424158248,0.7521733485226041,2.316549424158248,False
North,Fine LF,10,G/P/E,G,P,P,2.7349739751281255,0.2208955223880622,2.7349739751281255,True
North,Fine LF,12,G/P/E,P,P,P,2.2981203007518793,0.18500000000000227,2.2981203007518793,False
North,Fine HF,6,G/P/E,G,P,P,2.299914224960767,1.9512282456613497,2.299914224960767,True
North,Fine HF,7,G/P/E,G,P,P,2.8400636849714993,1.2711353680733413,3.109915139194508,True
North,Fine HF,8,G/P/E,P,P,P,2.1569570014805137,1.0695253770619693,2.1569570014805137,False
North,Fine HF,9,G/P/E,P,P,P,2.2893270885826986,0.648454953840658,2.2893270885826986,False
North,Fine HF,10,G/P/E,G,P,P,2.6345616272656187,0.21299401711189375,2.6345616272656187,True
North,Fine HF,12,G/P/E,P,P,P,2.333909774436087,0.4329113924050638,2.333909774436087,False
North,Coarse LF,6,G/P/E,G,G,G,1.7019712460699736,4.116013443450674,6.595898860579173,False
North,Coarse LF,7,G/P/E,E,G,G,2.741850429091677,3.091446584282362,12.61613639928474,True
North,Coarse LF,8,G/P/E,P,G,G,1.2465666737973642,3.3870169673716384,1.2465666737973642,True
North,Coarse LF,9,G/P/E,P,G,G,0.9358100735871364,2.781316363398075,0.9928583075618712,True
North,Coarse LF,10,G/P/E,G,G,G,1.2874788455651567,2.3340834509081034,2.78748934149716,False
North,Coarse LF,12,G/P/E,G,G,P,1.497699248120302,1.3496202531645558,1.6757483264365352,False
North,Coarse HF,6,G/P/E,G,G,G,1.6602234297632026,3.9410698103433806,5.713698871432606,False
North,Coarse HF,7,G/P/E,E,G,G,2.7159604795597843,2.9098898050761233,12.492100300099095,True
North,Coarse HF,8,G/P/E,P,G,G,1.1134435331703898,3.1847457453322874,1.1134435331703898,True
North,Coarse HF,9,G/P/E,P,G,G,0.8822803384860234,2.6686568255211363,0.9064454523818778,True
North,Coarse HF,10,G/P/E,G,G,G,1.18064452211634,2.243274768852908,2.4858193363114665,False
North,Coarse HF,12,G/P/E,G,G,P,1.3889097744360859,1.3177215189873417,1.542734095210549,False
South,Field K,6,G/P/E,G,P,P,41.27463230737313,17.801679461968384,87.23719124133017,True
South,Field K,7,G/P/E,G,P,P,34.96458850007523,12.316584264067897,35.63052754511758,True
South,Field K,8,G/P/E,G,P,P,35.837460607113876,5.15179795548582,35.837460607113876,True
South,Field K,9,G/P/E,P,P,P,28.50199559831592,6.167891380998166,28.50199559831592,False
South,Field K,10,G/P/E,P,P,P,26.977800484996337,5.779790336280459,26.977800484996337,False
South,Field K,12,G/P/E,P,P,P,21.560751879699232,6.209210526315793,21.560751879699232,False
South,Fine LF,6,G/P/E,G,P,P,7.204640416940674,1.235140848918321,7.204640416940674,True
South,Fine LF,7,G/P/E,P,P,P,5.854238173480536,0.6035432567843991,5.854238173480536,False
South,Fine LF,8,G/P/E,P,P,P,5.181165367044133,0.3383341303726464,5.181165367044133,False
South,Fine LF,9,G/P/E,P,P,P,4.2281683277049655,0.29860788111948244,4.2281683277049655,False
South,Fine LF,10,G/P/E,P,P,P,3.9098306323830805,0.35091933360563804,3.9098306323830805,False
South,Fine LF,12,G/P/E,P,P,P,2.685789473684208,0.3789473684210538,2.685789473684208,False
South,Fine HF,6,G/P/E,G,P,P,6.359703425820987,1.3496463014022944,6.359703425820987,True
South,Fine HF,7,G/P/E,P,P,P,5.509215146516994,0.6464524935726405,5.509215146516994,False
South,Fine HF,8,G/P/E,P,P,P,4.713087720558354,0.3769433151612866,4.713087720558354,False
South,Fine HF,9,G/P/E,P,P,P,4.033311332967242,0.43514972274739383,4.033311332967242,False
South,Fine HF,10,G/P/E,P,P,P,3.4725382041715167,0.5303788977211761,3.4725382041715167,False
South,Fine HF,12,G/P/E,P,P,P,2.177067669172928,0.723684210526315,2.177067669172928,False
South,Coarse LF,6,G/P/E,G,P,P,8.188277805743796,1.7382991767178029,16.04598611340724,True
South,Coarse LF,7,G/P/E,G,P,P,7.483492207001015,0.5074649358891964,8.068009077274969,True
South,Coarse LF,8,G/P/E,P,P,P,6.783678709930853,0.6910861408560403,6.790448760115627,False
South,Coarse LF,9,G/P/E,P,P,P,5.922114341314675,0.7286701719425146,5.922114341314675,False
South,Coarse LF,10,G/P/E,P,P,P,5.163296492584931,0.6775809740033725,5.163296492584931,False
South,Coarse LF,12,G/P/E,P,P,P,4.2046616541353385,0.7368421052631584,4.2046616541353385,False
South,Coarse HF,6,G/P/E,G,P,P,7.957046963031084,1.6122846540098195,13.963663628116134,True
South,Coarse HF,7,G/P/E,G,P,P,7.174539023803664,0.5081647419476071,7.611841713991667,True
South,Coarse HF,8,G/P/E,G,P,P,6.6062256978188,0.730971889097033,6.6062256978188,True
South,Coarse HF,9,G/P/E,P,P,P,5.69025157290633,0.7393691004272942,5.69025157290633,False
South,Coarse HF,10,G/P/E,P,P,P,4.806190376176106,0.5734025920279567,4.806190376176106,False
South,Coarse HF,12,G/P/E,P,P,P,3.880902255639093,0.597368421052634,3.880902255639093,False
