Side,Route,k,positive,negative,zero,total,retention
North,Field K,2,1,0,0,1,1.0
North,Field K,3,10,0,0,10,1.0
North,Field K,4,45,0,0,45,1.0
North,Field K,5,120,0,0,120,1.0
North,Field K,6,210,0,0,210,1.0
North,Field K,7,252,0,0,252,1.0
North,Field K,8,210,0,0,210,1.0
North,Field K,9,120,0,0,120,1.0
North,Field K,10,45,0,0,45,1.0
North,Field K,11,10,0,0,10,1.0
North,Field K,12,1,0,0,1,1.0
North,Fine LF,2,1,0,0,1,1.0
North,Fine LF,3,10,0,0,10,1.0
North,Fine LF,4,45,0,0,45,1.0
North,Fine LF,5,120,0,0,120,1.0
North,Fine LF,6,210,0,0,210,1.0
North,Fine LF,7,252,0,0,252,1.0
North,Fine LF,8,210,0,0,210,1.0
North,Fine LF,9,120,0,0,120,1.0
North,Fine LF,10,45,0,0,45,1.0
North,Fine LF,11,10,0,0,10,1.0
North,Fine LF,12,1,0,0,1,1.0
North,Fine HF,2,1,0,0,1,1.0
North,Fine HF,3,10,0,0,10,1.0
North,Fine HF,4,45,0,0,45,1.0
North,Fine HF,5,120,0,0,120,1.0
North,Fine HF,6,210,0,0,210,1.0
North,Fine HF,7,252,0,0,252,1.0
North,Fine HF,8,210,0,0,210,1.0
North,Fine HF,9,120,0,0,120,1.0
North,Fine HF,10,45,0,0,45,1.0
North,Fine HF,11,10,0,0,10,1.0
North,Fine HF,12,1,0,0,1,1.0
North,Coarse LF,2,1,0,0,1,1.0
North,Coarse LF,3,10,0,0,10,1.0
North,Coarse LF,4,45,0,0,45,1.0
North,Coarse LF,5,120,0,0,120,1.0
North,Coarse LF,6,210,0,0,210,1.0
North,Coarse LF,7,252,0,0,252,1.0
North,Coarse LF,8,210,0,0,210,1.0
North,Coarse LF,9,120,0,0,120,1.0
North,Coarse LF,10,45,0,0,45,1.0
North,Coarse LF,11,10,0,0,10,1.0
North,Coarse LF,12,1,0,0,1,1.0
North,Coarse HF,2,1,0,0,1,1.0
North,Coarse HF,3,10,0,0,10,1.0
North,Coarse HF,4,45,0,0,45,1.0
North,Coarse HF,5,120,0,0,120,1.0
North,Coarse HF,6,210,0,0,210,1.0
North,Coarse HF,7,252,0,0,252,1.0
North,Coarse HF,8,210,0,0,210,1.0
North,Coarse HF,9,120,0,0,120,1.0
North,Coarse HF,10,45,0,0,45,1.0
North,Coarse HF,11,10,0,0,10,1.0
North,Coarse HF,12,1,0,0,1,1.0
South,Field K,2,1,0,0,1,1.0
South,Field K,3,10,0,0,10,1.0
South,Field K,4,45,0,0,45,1.0
South,Field K,5,120,0,0,120,1.0
South,Field K,6,210,0,0,210,1.0
South,Field K,7,252,0,0,252,1.0
South,Field K,8,210,0,0,210,1.0
South,Field K,9,120,0,0,120,1.0
South,Field K,10,45,0,0,45,1.0
South,Field K,11,10,0,0,10,1.0
South,Field K,12,1,0,0,1,1.0
South,Fine LF,2,1,0,0,1,1.0
South,Fine LF,3,10,0,0,10,1.0
South,Fine LF,4,45,0,0,45,1.0
South,Fine LF,5,120,0,0,120,1.0
South,Fine LF,6,210,0,0,210,1.0
South,Fine LF,7,252,0,0,252,1.0
South,Fine LF,8,210,0,0,210,1.0
South,Fine LF,9,120,0,0,120,1.0
South,Fine LF,10,45,0,0,45,1.0
South,Fine LF,11,10,0,0,10,1.0
South,Fine LF,12,1,0,0,1,1.0
South,Fine HF,2,1,0,0,1,1.0
South,Fine HF,3,10,0,0,10,1.0
South,Fine HF,4,45,0,0,45,1.0
South,Fine HF,5,120,0,0,120,1.0
South,Fine HF,6,210,0,0,210,1.0
South,Fine HF,7,252,0,0,252,1.0
South,Fine HF,8,210,0,0,210,1.0
South,Fine HF,9,120,0,0,120,1.0
South,Fine HF,10,45,0,0,45,1.0
South,Fine HF,11,10,0,0,10,1.0
South,Fine HF,12,1,0,0,1,1.0
South,Coarse LF,2,1,0,0,1,1.0
South,Coarse LF,3,10,0,0,10,1.0
South,Coarse LF,4,45,0,0,45,1.0
South,Coarse LF,5,103,17,0,120,0.8583333333333333
South,Coarse LF,6,181,29,0,210,0.861904761904762
South,Coarse LF,7,232,20,0,252,0.9206349206349206
South,Coarse LF,8,197,13,0,210,0.9380952380952381
South,Coarse LF,9,116,4,0,120,0.9666666666666667
South,Coarse LF,10,42,0,3,45,0.9333333333333333
South,Coarse LF,11,10,0,0,10,1.0
South,Coarse LF,12,1,0,0,1,1.0
South,Coarse HF,2,1,0,0,1,1.0
South,Coarse HF,3,10,0,0,10,1.0
South,Coarse HF,4,45,0,0,45,1.0
South,Coarse HF,5,107,12,1,120,0.8916666666666667
South,Coarse HF,6,181,16,13,210,0.861904761904762
South,Coarse HF,7,232,14,6,252,0.9206349206349206
South,Coarse HF,8,203,7,0,210,0.9666666666666667
South,Coarse HF,9,116,1,3,120,0.9666666666666667
South,Coarse HF,10,45,0,0,45,1.0
South,Coarse HF,11,10,0,0,10,1.0
South,Coarse HF,12,1,0,0,1,1.0
